left_elbow-left_wrist,left_elbow_angle,left_hip-left_knee,left_hip_angle,left_knee-left_ankle,left_knee_angle,left_shoulder-left_elbow,left_shoulder_angle,mid_shoulder-mid_hip,mid_shoulder_angle,nose-mid_shoulder,right_elbow-right_wrist,right_elbow_angle,right_hip-right_knee,right_hip_angle,right_knee-right_ankle,right_knee_angle,right_shoulder-right_elbow,right_shoulder_angle
112.66413636661873,161.1237907809065,104.96250338161654,286.93306244566946,103.56417607549066,178.60167269387412,131.54034558571223,315.26361831503516,86.44200095450051,200.73788984166407,65.70411111283642,112.00381059386017,188.7855874736013,87.79262838907981,89.76338984893982,105.69449656945766,197.90186818037787,103.21822312025884,106.94155535911015
144.26575683147976,234.26575683147976,101.32453646233856,281.3245364623386,100.5653601852096,179.24082372287103,90.0,272.1582426870049,89.5988143328857,211.14940005843135,58.44941427445431,112.40684043435196,191.26332973493777,75.04979520426798,75.04979520426798,112.29677851608282,217.24698331181483,101.14351069941416,103.301709386909
90.0,184.69118624202457,98.65068412460766,272.7351932410214,98.19448591569328,179.54380179108563,85.30881375797537,264.3681703902506,91.18341992505088,209.72327440097408,61.46014552407679,110.02693081114506,190.13811805048803,72.22442545761233,66.30912286488372,110.5883875435753,218.36396208596292,99.88881276065705,98.94812713730671
100.46030335435805,195.90563848867964,96.24064371703047,272.52739662523567,94.0616803763308,177.82103665930035,84.55466486567843,264.55466486567843,93.22423717269656,215.54255070506352,57.68168646763304,109.43038162936612,191.3474924089686,86.01931091920254,82.30608691428775,30.976625708265136,124.9573147890626,98.08288922039753,98.08288922039753
106.87929523348357,199.9639675315643,92.64270767604535,271.0010770869271,92.19591065234604,179.55320297630067,86.9153277019193,267.78597728364406,93.61299378257456,215.77162875726853,57.841365025306025,106.39339546547392,189.79978338028903,92.3542057540224,90.71273280637459,39.22893618826448,126.87473043424208,96.5936120851849,97.46430349046841
112.0496044883969,202.04960448839688,94.26788871895629,274.26788871895627,89.47532734680698,175.2074386278507,90.0,270.8697234782767,90.58950056500473,211.43363422893557,59.15586633606916,105.39448044156222,192.03440921659816,100.60015489921292,100.60015489921292,41.59690356767014,120.99674866845722,93.36007122496403,94.22975293418872
118.32131805634576,206.0639887834558,90.53472378866304,270.5347237886631,87.99325221251564,177.4585284238526,92.25732927288995,275.838671161173,91.97214813596628,214.40690536354137,57.56524277242492,101.8724280305135,187.79255950870328,101.29446206614038,101.29446206614038,46.47233856153397,125.1778764953936,94.07986852181021,97.66119967240468
124.09872771208543,208.624630896607,87.37514272746157,266.155491944918,85.88018640500636,178.50504367754476,95.47409681547843,278.20201002414166,91.93375476956756,216.22139123774065,55.71236353182693,101.68268358107115,187.92086383095983,105.19384569258953,103.97431211493166,53.908689980201686,128.71484428761215,93.76181975011129,96.48974127607944
129.6763350428566,214.9344298071641,85.12320465453017,262.9522341015111,82.40640301278724,177.28319835825707,94.74190523569256,277.4380372158433,91.73946000358129,215.5542148844277,56.185245119153535,100.7360931978578,190.73609319785783,106.21426145143108,104.04318669984866,63.30486932732248,137.0906078758914,90.0,92.69609698961511
135.01345563379112,218.84036709856872,80.79908992396571,257.22441238739447,79.40777907280388,178.60868914883818,96.1730885352224,281.0148046312064,92.10089053707722,217.97200450477527,54.12888603230197,101.80779055185928,191.01160245005613,107.63012087455618,104.05542906144667,76.458030183815,148.8279093092588,90.79618810180307,95.63796622514448
