left_elbow-left_wrist,left_elbow_angle,left_hip-left_knee,left_hip_angle,left_knee-left_ankle,left_knee_angle,left_shoulder-left_elbow,left_shoulder_angle,mid_shoulder-mid_hip,mid_shoulder_angle,nose-mid_shoulder,right_elbow-right_wrist,right_elbow_angle,right_hip-right_knee,right_hip_angle,right_knee-right_ankle,right_knee_angle,right_shoulder-right_elbow,right_shoulder_angle
-108.47904634158948,337.93540495820275,44.926349771369125,213.64434045204953,93.823894346268,228.89754457489883,93.58554870020777,262.99250083274666,-53.059813796566,39.88343407596657,87.05675212746742,-65.79951448806239,353.87994050252274,146.37809583754859,135.09714432030484,109.70019008741151,143.32209424986294,120.32054500941489,109.72743503198652
-118.4802459238384,331.5197540761616,59.17325870596515,239.17325870596517,85.93630081030526,206.7630421043401,90.0,263.6256216819964,-53.278804498936495,39.71780022009241,87.00339528097109,-64.65681198199499,351.79628022877733,124.84657650676805,124.84657650676805,100.25030658652555,155.4037300797575,123.5469077892276,117.17283682273462
-130.58043695884396,327.3801673352498,63.92136837035628,243.92136837035628,90.0,206.07863162964367,82.03939570590627,255.18592716572851,-169.4778006776613,283.069621475812,87.45257784652665,-66.01359149706316,347.7024762434491,11.54794797399936,11.54794797399936,86.0001978626101,254.4522498886108,126.28393225948776,119.43079380866598
90.0,169.82528560661763,59.363451769479816,239.3634517694798,85.96680190062874,206.6033501311489,100.17471439338236,329.6283880768457,68.45411282723909,155.7628483108301,92.69126451640896,-61.502289031325525,325.3617096747746,172.7830397802717,172.7830397802717,85.65792257826942,92.87488279799774,153.13600129389985,202.58945948030856
90.0,169.97429002118267,53.89845489167674,226.572887129432,86.29121165742316,212.3927567657464,100.0257099788173,329.9050733490506,70.84977285247601,152.94156997882754,97.90820287364848,-61.86271708282352,325.350696834798,165.5810742277158,158.25620554948745,81.49214979358116,95.9110755658654,152.7865860823785,202.66616494717775
90.0,164.83373928645395,68.31954878385746,240.14058199941465,90.0,201.68045121614253,105.16626071354604,332.3165720194745,67.50477773660317,152.09763862146235,95.40713911514082,-63.575258692186495,330.2774720858878,159.32825810137606,151.1486257521483,85.93917946035197,106.6109213589759,146.1472692219257,193.2973827506652
90.0,164.91116905933487,68.42448890939853,238.85441679138353,90.0,201.57551109060148,105.0888309406651,332.39190825186927,63.69745259171417,143.50759989553111,100.18985269618304,-59.32594465694366,327.5028713941597,161.3666269658636,151.79640180405409,85.65171841244337,104.28509144657976,153.17118394889667,200.47464462899083
90.0,164.8937501186408,68.40138246527816,238.8431954128139,90.0,201.59861753472185,105.1062498813592,332.37502792687104,63.67009762441781,143.46830897996415,100.20178864445364,-59.295625751241246,327.5056573438951,161.3877410067553,151.82940122782557,85.64606493142207,104.25832392466678,153.19871690486363,200.4674949503755
109.99052644990594,211.305068113772,68.1908010436349,238.73279574286505,90.0,201.80919895636512,78.68545833613396,305.7947974274876,68.95416778278232,152.8361211846301,96.11804659815223,-62.23194037945752,331.4483816333007,159.45138670228727,149.9926370421928,85.59944719806364,106.1480604957764,146.3196779872418,193.4292283385043
110.30601761694474,211.809569016441,65.66493787038257,227.52697022529944,90.0,204.33506212961743,78.49644860050374,302.99720615855284,68.6258777576256,151.0654128184652,97.56046493916041,-63.03353463481766,341.46757645250614,159.77004443974164,141.6326350463568,85.84260552673753,106.07256108699588,135.4988889126762,179.9996464707253
91.15472938547703,179.53831782752442,81.30010925781185,69.85378604130737,94.31164384113296,193.01153458332112,91.61641155795265,237.59754998804812,88.79186394285753,179.97064329866444,88.82122064419313,91.04783514714019,181.8562014936686,86.18205734171126,254.73466370442327,94.66995672202246,188.4878993803112,89.19163365347161,55.172127420255954
96.98404426517352,189.03033460834024,77.32964227786928,279.122750997806,93.12347642325548,195.79383414538623,87.9537096568333,267.95370965683327,89.2651615758716,169.16983532471255,100.09532625115907,93.24109730683757,186.8189713529694,82.94467900496643,104.7377877249032,89.42681459344374,186.4821355884773,86.42212595386817,86.42212595386817
76.28459106415401,171.76276058773797,75.74584154743033,255.74584154743036,79.26827098945033,183.52242944202,84.52183047641604,261.4939455207747,88.76468456999774,154.75721596237176,114.007468607626,51.6857910800567,141.6857910800567,74.20950958166365,74.20950958166365,73.62907917952755,179.41956959786387,90.0,86.9721149843624
