sector1,sector2,sector3,sector4,sector5,sector6,sector7,sector8,sector9,sector10,sector11
1.84,2.17,2.07,51.66,0.3112048192771084,43.34,16.17,3.0,54.0,53.5,46.67
0.0,2.09,2.3,51.67,0.2851807228915663,43.34,18.17,2.33,51.0,51.17,48.33
1.57,2.05,1.87,50.0,0.33325301204819274,46.66,17.33,2.33,49.5,53.33,46.67
0.98,1.71,0.52,41.67,0.2530120481927711,28.33,13.67,1.5,38.67,48.83,38.33
0.82,1.5,0.88,30.0,0.22698795180722892,28.33,16.83,1.33,37.5,34.17,30.0
0.62,1.35,0.62,23.33,0.17674698795180727,26.66,9.17,1.33,35.83,34.83,43.33
0.43,1.24,1.4,15.0,0.1425301204819277,26.67,6.5,0.83,35.34,24.83,40.0
0.18,1.07,1.1,11.67,0.09843373493975906,25.0,5.83,0.83,40.5,22.17,25.0
0.17,1.09,1.48,10.0,0.12445783132530118,25.0,11.17,2.5,32.17,16.17,18.33
0.17,1.05,1.34,10.0,0.10445783132530122,21.67,5.0,1.17,30.0,18.17,15.0
0.22,0.99,2.45,11.67,0.11855421686746988,28.33,5.83,1.83,35.5,15.67,16.67
0.18,1.1,2.15,21.67,0.1606024096385542,33.33,7.67,6.17,32.02,23.33,16.67
0.67,1.44,1.72,33.33,0.22289156626506024,35.0,13.5,3.0,33.42,34.17,31.67
0.0,1.8,2.03,55.0,0.27108433734939763,40.0,20.17,3.67,53.67,53.83,43.33
0.25,2.39,1.42,70.0,0.3614457831325302,46.67,27.5,4.33,52.67,66.67,60.0
0.17,2.88,1.15,73.33,0.46987951807228917,53.33,21.5,4.5,77.83,71.33,70.0
0.54,3.0,0.98,70.0,0.39759036144578314,45.0,22.33,5.67,59.5,67.5,61.67
1.38,3.17,0.8,65.0,0.299277108433735,43.33,21.0,3.67,56.33,65.0,53.33
1.32,2.66,0.59,63.33,0.2851807228915663,40.0,22.33,2.83,44.17,62.17,53.33
1.12,2.52,0.45,53.33,0.2630120481927711,36.66,16.67,2.5,45.0,51.83,58.33
0.28,2.35,0.87,50.0,0.2671084337349398,33.33,18.0,2.5,42.0,49.5,50.0
1.05,2.14,0.5,41.66,0.21481927710843374,35.0,21.17,1.83,37.66,46.33,45.0
0.61,2.44,1.1,46.67,0.2430120481927711,38.33,21.5,2.67,36.66,53.17,45.0
1.39,2.43,2.82,51.66,0.3112048192771084,40.0,16.17,3.0,41.33,53.67,43.33
0.55,2.5,1.8,58.33,0.3855421686746988,50.0,18.17,3.33,54.0,54.0,55.0
0.72,2.47,2.92,60.0,0.34337349397590367,53.34,21.83,3.83,65.5,61.83,51.67
0.37,2.24,2.01,65.0,0.4397590361445784,50.0,20.0,3.67,53.67,67.67,61.67
0.17,1.87,1.45,50.0,0.345421686746988,36.66,15.5,2.0,49.33,47.83,43.33
0.75,1.5,1.17,41.67,0.29722891566265064,33.34,19.17,1.67,59.33,37.17,30.0
1.02,1.24,0.6,23.33,0.20084337349397596,28.33,14.83,1.83,49.83,27.17,40.0
0.5,1.08,0.04,13.33,0.10843373493975904,23.34,13.0,1.0,44.5,21.0,33.33
0.15,1.0,1.7,13.33,0.09843373493975906,26.67,12.33,1.5,42.84,25.33,26.67
0.13,0.95,2.09,13.33,0.08433734939759037,30.0,11.83,3.5,46.66,27.0,21.67
0.17,1.02,1.23,20.0,0.1144578313253012,31.66,10.83,5.0,65.16,29.17,18.33
0.3,1.12,1.76,25.0,0.16674698795180726,36.67,11.5,2.5,66.84,27.0,20.0
